Variable,Coefficient (Impact),P-Value
TikTok,17.11659503466718,2.0938754850741903e-13
Facebook,11.5728435940344,4.3425003046485376e-11
Instagram,3.414654138384492,9.690232937444745e-40
Campaign_Flyer,2.0792644936080036,0.0005589512104142204
YouTube,1.936863422859004,1.3387981677806472e-14
Facebook:YouTube,2.099955679064363e-06,6.452816141206239e-06
Campaign_Flyer:Instagram,1.780039469306215e-07,0.005368182002788136
Campaign_Flyer:Facebook,-5.058416453937084e-07,0.0006045074467139271
Facebook:Instagram,-6.677243554410012e-07,2.9567967681648895e-05
Campaign_Email:Facebook,-9.986526909662981e-07,0.000361455289239618
Instagram:TikTok,-1.5994713809805703e-06,2.1644182482305252e-13
